,Log Elastic Net - Crude Rate Endocrine,Log Elastic Net - Crude Rate Obesity,Log Elastic Net - Crude Rate Metabolic,Log Elastic Net - Crude Rate Diabetes,Log Elastic Net - Crude Rate Circulatory,Log Elastic Net - Crude Rate Pulmonary,Log Elastic Net - Crude Rate Arteries,Log Elastic Net - Crude Rate Hypertension,Log Elastic Net - Crude Rate External,Log Elastic Net - Crude Rate Assault,Log Elastic Net - Crude Rate Intentional,Log Elastic Net - Crude Rate Transport,Log Elastic Net - Crude Rate Mental,Log Elastic Net - Crude Rate Psychoactive,Log Elastic Net - Crude Rate Neoplasms,Log Elastic Net - Crude Rate MalignantDigestive,Log Elastic Net - Crude Rate MalignantBreast,Log Elastic Net - Crude Rate MalignantFemale,Log Elastic Net - Crude Rate MalignantMale,Log Elastic Net - Crude Rate MalignantEndocrine,Log Elastic Net - Crude Rate All
MAE Test,-15.652692282218055,-0.7090302330716404,-3.5891871277855425,-11.18579911614316,-72.14711360257668,-3.3369649667964065,-6.564339247511612,-13.432158995122647,-20.8222215591389,-4.344791832979882,-4.857778280520754,-7.776183940473874,-17.670955607372548,-1.9544210633592483,-46.5184359530767,-12.620578108261396,-4.012719437030966,-2.7054298640749366,-3.5651253704628054,-0.43122544083568726,-186.9051774561476
MAE Train,-14.335435363183697,-0.9359090131388924,-3.5291676967148002,-10.100626352924465,-79.62230214060185,-2.2678864199394106,-6.388952542989727,-11.047699952304255,-19.85042887464498,-3.6680164205422385,-4.53470574365771,-7.115842282128412,-16.937495530014477,-1.7307716446739387,-46.00100074836754,-13.086976139748282,-3.6029802851412054,-2.7041889195294346,-3.5178054885960406,-0.1790510005630124,-183.80603126469205
R^2 Test,0.15772611956014182,0.22733428564939073,0.07945623895075117,0.15572423941787372,0.15871918607714752,0.050666056978086016,0.04967644420309636,0.16607270185848078,0.174812319535391,0.07422485065692452,0.14851354954491114,0.1913584967904114,0.054347796988436614,0.3529288577334744,0.15451243839846263,0.13529441175740597,0.05312796797733221,0.0015853389388095218,0.08636395231005867,0.14091177208746108,0.16325854386036265
R^2 Train,0.18736326692170524,0.10188684774007561,0.20288634763762403,0.27085709391569557,0.14990915333502677,0.07452745170976416,0.14027602650168147,0.20832591039191473,0.16792949006292457,0.09491801686640033,0.25035076471054074,0.3127173115636966,0.059605700570630415,0.3941761216806816,0.14801527913852464,0.11801375181551421,0.11798406344475199,0.15293313637852513,0.20058605543045382,0.5313648108602282,0.16970598443468599
