,Random Forest - Age Adjusted Rate Endocrine,Random Forest - Age Adjusted Rate Obesity,Random Forest - Age Adjusted Rate Metabolic,Random Forest - Age Adjusted Rate Diabetes,Random Forest - Age Adjusted Rate Circulatory,Random Forest - Age Adjusted Rate Pulmonary,Random Forest - Age Adjusted Rate Arteries,Random Forest - Age Adjusted Rate Hypertension,Random Forest - Age Adjusted Rate External,Random Forest - Age Adjusted Rate Assault,Random Forest - Age Adjusted Rate Intentional,Random Forest - Age Adjusted Rate Transport,Random Forest - Age Adjusted Rate Mental,Random Forest - Age Adjusted Rate Psychoactive,Random Forest - Age Adjusted Rate Neoplasms,Random Forest - Age Adjusted Rate MalignantDigestive,Random Forest - Age Adjusted Rate MalignantBreast,Random Forest - Age Adjusted Rate MalignantFemale,Random Forest - Age Adjusted Rate MalignantMale,Random Forest - Age Adjusted Rate MalignantEndocrine,Random Forest - Age Adjusted Rate All
MAE Test,-11.505332875154375,-0.941021766537555,-2.9095572275491417,-8.955051233525056,-47.45120388882079,-1.9479090162560793,-4.795026297106887,-9.116977631065204,-21.72832340778912,-3.3746203943898774,-4.0284245772442935,-7.207046470216216,-12.802264832274142,-1.6834236738843649,-27.812630525458186,-9.816162392899463,-2.634512929009174,-1.8903609787403217,-2.6539616245989337,-0.16494949494949537,-105.83743939838433
MAE Train,-7.486274981511744,-0.6857613449500901,-1.8711142809030437,-5.431739447893627,-29.984957010741397,-1.4200989988801205,-3.4084510408011237,-6.194852978433456,-13.507725642426243,-2.7897492596808333,-2.874954771881171,-4.972047570255609,-7.986528489623809,-1.2792008978672382,-17.460439472043102,-5.569572866647452,-2.070813336513584,-1.6333512983073142,-1.7885094250509699,-0.14555940023067862,-65.49584185959519
R^2 Test,0.5144215967102712,0.21073429236182772,0.5552585127719163,0.5623987339870167,0.545400579797175,0.12594413025248608,0.23901355250851508,0.5902017370916792,0.5336624097590874,0.3936302289149689,0.40123140936179086,0.66524540712056,0.4847105677769414,0.6783767407236495,0.44368868716025667,0.554826855317343,0.3706637397788487,0.20333119282947543,0.3189701548423963,-0.13932427725533936,0.5897744576791293
R^2 Train,0.9152002134123036,0.6882492289461708,0.7048657685013182,0.9367668511420817,0.9083348962234143,0.9405445501069487,0.7828851583832356,0.9040179245093932,0.9056385738281636,0.6696461406603279,0.8617630618608924,0.945046568694476,0.8663875307374418,0.6635278363922203,0.928458348961491,0.917248065488092,0.7896992155481273,0.740265699033821,0.8148678077154179,2.220446049250313e-16,0.8975923703491961
